,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
930,2018-07-19,6580.8377320953505,5739.923669197807,8705.24927794606,6580.8377320953505,6580.8377320953505,721.17575792996,721.17575792996,721.17575792996,-18.46165599527726,-18.46165599527726,-18.46165599527726,739.6374139252373,739.6374139252373,739.6374139252373,0.0,0.0,0.0,7302.013490025311
931,2018-07-20,6566.0470382125595,5934.322630013058,8723.118132958467,6566.0470382125595,6566.0470382125595,753.670371247794,753.670371247794,753.670371247794,-3.4202232499359937,-3.4202232499359937,-3.4202232499359937,757.09059449773,757.09059449773,757.09059449773,0.0,0.0,0.0,7319.717409460353
932,2018-07-21,6551.25634432977,5871.394184438739,8804.218976750586,6551.25634432977,6551.25634432977,791.2929407590314,791.2929407590314,791.2929407590314,15.25003123025769,15.25003123025769,15.25003123025769,776.0429095287735,776.0429095287735,776.0429095287735,0.0,0.0,0.0,7342.549285088802
933,2018-07-22,6536.465650446979,5949.844594817681,8718.457814990208,6536.465650446979,6536.465650446979,787.5663802277599,787.5663802277599,787.5663802277599,-8.873526080133571,-8.873526080133571,-8.873526080133571,796.4399063078935,796.4399063078935,796.4399063078935,0.0,0.0,0.0,7324.032030674739
934,2018-07-23,6521.6749565641885,5927.785594709582,8857.46325261346,6521.6749565641885,6521.6749565641885,836.9332607021265,836.9332607021265,836.9332607021265,18.71510960120912,18.71510960120912,18.71510960120912,818.2181511009175,818.2181511009175,818.2181511009175,0.0,0.0,0.0,7358.6082172663155
935,2018-07-24,6506.8842626814,5864.906510317383,8790.049615799162,6506.8842626814,6506.8842626814,836.9402534999119,836.9402534999119,836.9402534999119,-4.365338354122897,-4.365338354122897,-4.365338354122897,841.3055918540349,841.3055918540349,841.3055918540349,0.0,0.0,0.0,7343.824516181312
936,2018-07-25,6492.093568798607,5968.09988558003,8800.734386471668,6492.093568798607,6492.093568798607,866.777103447874,866.777103447874,866.777103447874,1.1556028480404978,1.1556028480404978,1.1556028480404978,865.6215005998334,865.6215005998334,865.6215005998334,0.0,0.0,0.0,7358.87067224648
937,2018-07-26,6477.302874915816,5987.067992375403,8903.66924451776,6477.302874915816,6477.302874915816,872.6143624733149,872.6143624733149,872.6143624733149,-18.461655995263207,-18.461655995263207,-18.461655995263207,891.076018468578,891.076018468578,891.076018468578,0.0,0.0,0.0,7349.917237389131
938,2018-07-27,6462.5121810330265,5938.394067736117,8777.517047895795,6462.5121810330265,6462.5121810330265,914.1491269081679,914.1491269081679,914.1491269081679,-3.4202232499787666,-3.4202232499787666,-3.4202232499787666,917.5693501581466,917.5693501581466,917.5693501581466,0.0,0.0,0.0,7376.6613079411945
939,2018-07-28,6447.721487150236,5959.863266956281,8790.864999244175,6447.721487150236,6447.721487150236,960.2407077815507,960.2407077815507,960.2407077815507,15.250031230197697,15.250031230197697,15.250031230197697,944.990676551353,944.990676551353,944.990676551353,0.0,0.0,0.0,7407.962194931786
940,2018-07-29,6432.930793267445,6041.200928376945,8868.395077788498,6432.930793267445,6432.930793267445,964.3433469105843,964.3433469105843,964.3433469105843,-8.8735260801461,-8.8735260801461,-8.8735260801461,973.2168729907305,973.2168729907305,973.2168729907305,0.0,0.0,0.0,7397.274140178029
941,2018-07-30,6418.140099384656,6065.904241817479,8860.259112870432,6418.140099384656,6418.140099384656,1020.8262453691701,1020.8262453691701,1020.8262453691701,18.715109601211655,18.715109601211655,18.715109601211655,1002.1111357679586,1002.1111357679586,1002.1111357679586,0.0,0.0,0.0,7438.966344753827
942,2018-07-31,6403.349405501863,6002.521054578526,8835.605878238579,6403.349405501863,6403.349405501863,1027.1562916565372,1027.1562916565372,1027.1562916565372,-4.365338354119492,-4.365338354119492,-4.365338354119492,1031.5216300106565,1031.5216300106565,1031.5216300106565,0.0,0.0,0.0,7430.5056971584
943,2018-08-01,6388.558711619072,5982.781330149062,8899.931747332123,6388.558711619072,6388.558711619072,1062.4358807407345,1062.4358807407345,1062.4358807407345,1.1556028479744709,1.1556028479744709,1.1556028479744709,1061.28027789276,1061.28027789276,1061.28027789276,0.0,0.0,0.0,7450.994592359806
944,2018-08-02,6373.768017736283,6143.489642384708,8933.066915989444,6373.768017736283,6373.768017736283,1072.7401506552662,1072.7401506552662,1072.7401506552662,-18.461655995238363,-18.461655995238363,-18.461655995238363,1091.2018066505045,1091.2018066505045,1091.2018066505045,0.0,0.0,0.0,7446.508168391549
945,2018-08-03,6358.977323853492,5993.038674055101,8909.16608274849,6358.977323853492,6358.977323853492,1117.6629479271116,1117.6629479271116,1117.6629479271116,-3.420223249894307,-3.420223249894307,-3.420223249894307,1121.083171177006,1121.083171177006,1121.083171177006,0.0,0.0,0.0,7476.640271780603
946,2018-08-04,6344.186629970701,6100.054509959279,8957.131951717707,6344.186629970701,6344.186629970701,1165.953487298962,1165.953487298962,1165.953487298962,15.250031230214235,15.250031230214235,15.250031230214235,1150.7034560687478,1150.7034560687478,1150.7034560687478,0.0,0.0,0.0,7510.140117269662
947,2018-08-05,6329.39593608791,6023.883116653428,8993.744599549418,6329.39593608791,6329.39593608791,1170.9508211389523,1170.9508211389523,1170.9508211389523,-8.873526080114205,-8.873526080114205,-8.873526080114205,1179.8243472190663,1179.8243472190663,1179.8243472190663,0.0,0.0,0.0,7500.346757226862
948,2018-08-06,6314.605242205119,6055.448067829509,8961.123740846966,6314.605242205119,6314.605242205119,1226.906353458001,1226.906353458001,1226.906353458001,18.715109601203253,18.715109601203253,18.715109601203253,1208.1912438567977,1208.1912438567977,1208.1912438567977,0.0,0.0,0.0,7541.51159566312
949,2018-08-07,6299.814548322328,6083.608478907189,8917.539100551963,6299.814548322328,6299.814548322328,1231.1697206260624,1231.1697206260624,1231.1697206260624,-4.365338354087086,-4.365338354087086,-4.365338354087086,1235.5350589801494,1235.5350589801494,1235.5350589801494,0.0,0.0,0.0,7530.98426894839
950,2018-08-08,6285.023854439539,6130.763695948293,9022.865462447455,6285.023854439539,6285.023854439539,1262.7303330636125,1262.7303330636125,1262.7303330636125,1.155602848017341,1.155602848017341,1.155602848017341,1261.5747302155953,1261.5747302155953,1261.5747302155953,0.0,0.0,0.0,7547.754187503151
951,2018-08-09,6270.233160556748,6174.952225907777,8987.680305512546,6270.233160556748,6270.233160556748,1267.5587791708801,1267.5587791708801,1267.5587791708801,-18.461655995213516,-18.461655995213516,-18.461655995213516,1286.0204351660936,1286.0204351660936,1286.0204351660936,0.0,0.0,0.0,7537.791939727628
952,2018-08-10,6255.442466673957,6054.131047359335,8996.0918745709,6255.442466673957,6255.442466673957,1305.157253066509,1305.157253066509,1305.157253066509,-3.420223249809847,-3.420223249809847,-3.420223249809847,1308.5774763163188,1308.5774763163188,1308.5774763163188,0.0,0.0,0.0,7560.599719740466
953,2018-08-11,6240.651772791166,6075.100800862415,8991.909758713911,6240.651772791166,6240.651772791166,1344.2008028269634,1344.2008028269634,1344.2008028269634,15.250031230156676,15.250031230156676,15.250031230156676,1328.9507715968068,1328.9507715968068,1328.9507715968068,0.0,0.0,0.0,7584.85257561813
954,2018-08-12,6225.861078908375,6113.6302487720195,8974.969177974886,6225.861078908375,6225.861078908375,1337.9763327794058,1337.9763327794058,1337.9763327794058,-8.873526080164504,-8.873526080164504,-8.873526080164504,1346.8498588595703,1346.8498588595703,1346.8498588595703,0.0,0.0,0.0,7563.83741168778
955,2018-08-13,6211.070385025584,6135.766581857014,9057.479825630073,6211.070385025584,6211.070385025584,1380.7094064613332,1380.7094064613332,1380.7094064613332,18.7151096012093,18.7151096012093,18.7151096012093,1361.9942968601238,1361.9942968601238,1361.9942968601238,0.0,0.0,0.0,7591.779791486917
956,2018-08-14,6196.279691142795,6100.793498391886,8996.338634842381,6196.279691142795,6196.279691142795,1369.753984533508,1369.753984533508,1369.753984533508,-4.365338354083678,-4.365338354083678,-4.365338354083678,1374.1193228875914,1374.1193228875914,1374.1193228875914,0.0,0.0,0.0,7566.033675676303
957,2018-08-15,6181.488997260004,6176.805019724912,8920.628810421855,6181.488997260004,6181.488997260004,1384.137211702912,1384.137211702912,1384.137211702912,1.1556028479880556,1.1556028479880556,1.1556028479880556,1382.9816088549242,1382.9816088549242,1382.9816088549242,0.0,0.0,0.0,7565.626208962916
958,2018-08-16,6166.698303377213,6019.488017595702,9015.451681565499,6166.698303377213,6166.698303377213,1369.9032882577208,1369.9032882577208,1369.9032882577208,-18.461655995280594,-18.461655995280594,-18.461655995280594,1388.3649442530013,1388.3649442530013,1388.3649442530013,0.0,0.0,0.0,7536.601591634933
959,2018-08-17,6151.907609494422,6061.038962083587,8932.128618601762,6151.907609494422,6151.907609494422,1386.6654432836608,1386.6654432836608,1386.6654432836608,-3.420223249852622,-3.420223249852622,-3.420223249852622,1390.0856665335134,1390.0856665335134,1390.0856665335134,0.0,0.0,0.0,7538.573052778083
960,2018-08-18,6137.116915611631,6195.37584881297,9096.678151926948,6137.116915611631,6137.116915611631,1403.247688897974,1403.247688897974,1403.247688897974,15.250031230173214,15.250031230173214,15.250031230173214,1387.997657667801,1387.997657667801,1387.997657667801,0.0,0.0,0.0,7540.364604509605
